name,year,miles,price,accidents,Owner,exterior_color,interior_color
Volkswagen Jetta,2019,33822,15444,0,1,Black,Black
Toyota Highlander,2021,16775,40222,0,1,Red,Black
Toyota 4Runner,2021,62820,27600,0,1,Red,Black
Subaru Forester,2021,12548,28699,0,1,White,Brown
Ford Bronco,2022,5189,57444,0,1,Silver,Beige
Mercedes-Benz CLA,2023,9431,40018,0,1,White,Black
Toyota Tundra,2021,20874,41394,0,1,Green,Black
Audi Q5,2023,4888,44672,0,1,Gray,Black
BMW 3 Series,2023,3271,45222,0,1,Black,Black
Mercedes-Benz GLC,2021,37321,31329,1,1,White,Black
Subaru Crosstrek,2020,34869,24995,0,1,White,Black
Nissan Rogue,2021,59839,19988,0,2,White,Black
Toyota Corolla,2011,64526,11420,2,1,Gray,Gray
Subaru Outback,2023,5609,35479,0,1,White,Gray
Hyundai Sonata,2015,122881,10495,0,2,White,Black
Mercedes-Benz GLB,2020,18786,29440,0,1,White,Beige
Honda Civic,2020,8181,19995,0,1,White,Unknown
Jeep Wrangler,2018,27646,26260,1,2,Red,Black
Toyota Camry,2022,27681,20499,0,1,Silver,Black
Mercedes-Benz E-Class,2022,5873,43887,0,1,White,Black
Toyota RAV4,2022,31666,24988,0,1,Gray,Unknown
Honda Passport,2022,10301,34649,0,1,White,Black
BMW 3 Series,2007,97688,7995,1,2,Silver,Gray
BMW 7 Series,2016,78768,21999,1,2,Gray,Brown
BMW 3 Series,2020,25727,26998,1,1,Black,Black
Subaru Outback,2022,31748,25499,0,1,White,Gray
Volkswagen Tiguan,2020,30533,18529,0,1,Gray,Black
Chevrolet Colorado,2021,30455,23333,1,1,Black,Black
Toyota Camry,2022,29934,29998,0,1,Black,Black
Mercedes-Benz E-Class,2022,9842,44774,0,1,White,Black
Subaru Outback,2020,40394,26828,0,1,Black,Gray
Porsche Macan,2020,39689,36998,1,1,Blue,Black
Jeep Grand Cherokee,2015,82310,19998,0,1,Gray,Black
Ram 1500,2021,107431,21999,1,1,Blue,Brown
Audi Q3,2021,62112,21699,0,1,White,Black
Cadillac XT6,2021,28000,30260,0,1,Black,Black
